"CourseId"|"CourseName"|"CourseCategoryId"|"CourseTitle"|"CourseDescription"|"CourseCredits"|"CourseReferenceId"
28|"ACCT I S 730"|730|"Advanced Assurance Services"|"Operational and information systems auditing; risk analysis, electronic evidence; computerized audit and assurance techniques; internal auditing and outsourcing; analytical techniques; auditor judgment; control concepts, business process risk analysis; reporting on controls and business processes; expanding technology and assurance. "|"3"|3011
29|"ACCT I S 740"|740|"Information Risk, Control, & Forensics"|"Examines the control and security of accounting information systems with an auditing and forensic perspective.  Topics covered include: data governance frameworks, risks to information (i.e., data), internal controls related to identified risks, types of assurance services, computer assisted audit tools and techniques (CAATTs), fraud, and other related topics."|"3"|25935
30|"ACCT I S 765"|765|"Contemporary Topics"|"Exploration of advanced subject areas possibly to be introduced into the business curriculum."|"1-4"|3029
31|"ACCT I S 770"|770|"Seminar in Financial Reporting Theory"|"Intensive study and critical examination of accounting and financial reporting theories, concepts and standards; evaluations of the pronouncements of accounting standard-setters and financial reporting regulators. "|"3"|3030
32|"ACCT I S 771"|771|"Seminar in Strategic Cost Management and Performance Measurement"|"Development and analysis of accounting data for managerial planning, control, decision-making, and costing. Integration of financial and non-financial information needs for various managerial functions. "|"3"|3031
33|"ACCT I S 772"|772|"Seminar in Current Taxation Topics"|"Readings and cases in taxation; analysis and integration of related tax provisions and taxpayer impact. "|"3"|3032
34|"ACCT I S 781"|781|"Financial and Business Acumen"|"This course is designed with a keen awareness for the needs of the non-financial student or professional. For this class, no previous financial training is required. The intent is to equip you with the essential concepts used to develop financial literacy. Content will cover basic financial terms and reports, analytical tools to help interpret financial data and using financial data in budgets and forecasts. "|"1"|24530
35|"ACCT I S 799"|799|"Reading and Research-Accounting"|"Individual work suited to the needs of graduate students may be arranged both during regular sessions and the intersession periods. "|"1-6"|3035
36|"ACCT I S 971"|971|"Seminar in Accounting Research"|"Methods of inquiry and research methodology in accounting. Analysis of current research, with the emphasis on empirical research in accounting. "|"3"|3037
37|"ACCT I S 990"|990|"Accounting Independent Research PhD Thesis"|"Individual work to complete dissertation requirement of Ph.D. program. "|"1-12"|3039
38|"ACCT I S 999"|999|"Reading and Research-Accounting PhD"|"Individual work suited to the needs of Ph.D. students may be arranged with a faculty member. "|"1-6"|3040
39|"ACT SCI 300"|300|"Actuarial Science Methods I"|"Develop a knowledge of fundamental mathematical tools for quantitatively assessing risk. Emphasize the applications of these tools to problems encountered in actuarial science."|"1"|21357
40|"ACT SCI 301"|301|"Actuarial Science Methods II"|"Develop a knowledge of mathematical tools for quantitatively assessing financial risk. Emphasize the applications to problems encountered in actuarial science."|"1"|22911
41|"ACT SCI 303"|303|"Theory of Interest"|"Time value of money; interest compounded discretely and continuously; accumulated and present value of payments; loans and sinking funds; annuity and bond valuation; interest rate term structure; duration, immunization and interest rate swaps."|"3"|11640
42|"ACT SCI 365"|365|"Contemporary Topics"|"Exploration of subject areas possibly to be introduced into the business curriculum. "|"1-3"|23706
43|"ACT SCI 399"|399|"Reading and Research-Actuarial Science"|"Directed study in various areas of actuarial science that provides the opportunity to participate in more in-depth study (intermediate level) under the direct guidance of actuarial science faculty.  "|"1-3"|25656
44|"ACT SCI 650"|650|"Actuarial Mathematics I"|"Advanced problems in the mathematical theory of life contingencies; force of mortality, laws of mortality; premiums and reserves for insurance and annuities based on a single life."|"3"|3679
45|"ACT SCI 651"|651|"Actuarial Mathematics II"|"Continuation of ACT SCI 650. Joint life probabilities, annuities and insurances; multiple-decrement theory; pension fund mathematics. "|"3"|3680
46|"ACT SCI 652"|652|"Loss Models I"|"Definition and selection of probability distributions appropriate for insurance data that are heavily tailed and skewed."|"3"|3681
47|"ACT SCI 653"|653|"Loss Models II"|"Estimation of parameters of probability distributions appropriate for insurance data that are heavy tailed and skewed; assessment of credibility of data for ratemaking."|"3"|3682
48|"ACT SCI 654"|654|"Regression and Time Series for Actuaries"|"Linear regression and correlation; generalized linear regression models; introduction to time series; time series model building and forecasting with focus on data of interest to actuaries."|"2-3"|3683
49|"ACT SCI 655"|655|"Health Analytics"|"Provides an introduction to the broad area of health, integrating how researchers from multiple perspectives have investigated various aspects of health, along with the hands-on practice of learning and using statistical tools to analyze these topics."|"2-3"|24695
50|"ACT SCI 657"|657|"Risk Analytics"|"Develops a toolbox for modeling, communicating, and managing risk and uncertainty in predictive models. Topics include time-series forecasting, probabilistic forecasting techniques, scenario analysis, and integrations of modern machine learning methods with distribution-based predictive models, among others. Particularly addresses situations where data is sparse, including climate, cyber, and catastrophic risk.  "|"2-3"|26281
51|"ACT SCI 765"|765|"Contemporary Topics"|"Exploration of subject areas possibly to be introduced into the business curriculum."|"1-3"|23707
52|"AFRICAN 100"|100|"Introduction to African Cultural Expression"|"An introduction to current research in African cultural studies, ranging from various literary genres and uses of discourse; to diverse media including screen media, music, cartoons, and journalism; and to other forms of popular expression like soccer and drama. Through an introduction to these forms, study the diverse methods used by scholars in this field, such as textual analysis, film criticism, ethnomusicology, discourse analysis, and ethnography; and to the cultural diversity of Africa and its diasporic cultures. "|"3"|24623
53|"AFRICAN 129"|129|"Africa on the Global Stage"|"Explores the interplay between Africa and the World from the 19th century to the present, covering subjects such as the slave- trade, repatriation, Africanizing of culture in the Americas and Europe, the spread and revival of world religions, colonialism, global capitalism, the rise of global popular culture such as pop music and video films, environmental concerns and global epidemics. "|"3-4"|24474
54|"AFRICAN 201"|201|"Introduction to African Literature"|"Survey of African literary traditions and introduction to literary analysis. "|"3"|26
55|"AFRICAN 202"|202|"Introductory Topics in African Cultural Studies"|"Various topics in African cultural studies and African expressive cultures. Topics will include cultural and/or political themes that cut across multiple media and genres, including two or more of the following: literature, film, media, music, performance, language use, etc. "|"3"|25208
56|"AFRICAN 203"|203|"Introductory Topics in African Literature"|"Introduction to a special topic in African literature, focused on a specific region or genre. "|"3"|25253
57|"AFRICAN 204"|204|"Introductory Topics in African Languages"|"Special topics related to African languages and/or linguistics at the introductory level. Introduction to the diversity of African languages, superdiverse multilingual African societies, and the relationships between language and other societal issues. "|"3"|25314
58|"AFRICAN 210"|210|"The African Storyteller"|"The oral tradition and the written word; the composition of stories, relationship between performer and audience, and transmission of tradition in various African societies. "|"3"|28
59|"AFRICAN 212"|212|"Introduction to African Popular Culture"|"Popular culture (such as popular literature, music, television, news media, movies, etc.) will be used to introduce the African continent and its cultures, people, and languages. Explore text from a different regions on the continent, with a focus on differences and similarities across the continent at the level of aesthetics and context. "|"3"|24404
60|"AFRICAN 216"|216|"Modern and Contemporary Francophone Topics"|"Modern and contemporary topics in the African francophone world, which includes both the African continent and the African diaspora. Taught in English. "|"3"|25260
61|"AFRICAN 220"|220|"HipHop, Youth Culture, and Politics in Senegal"|"""Explores how HipHop, a quintessential manifestation of African American culture, is adopted and adapted by African youth to fight for social justice and democracy in their local contexts, while at the same time constructing a diasporic African sensibility and """"cultural citizenship"""" that transcends boarders and oceans. Beginning with the history, culture, and politics of HipHop in the U.S., we compare and contrast HipHop's development in Africa with specific attention to Senegal. Explores the the youth culture and politics in Senegal and the ongoing process of cross-cultural flows and hybridity. """|"3"|24573
62|"AFRICAN 230"|230|"Introduction to Yoruba Life and Culture"|"Introduction to some aspects of the life and culture of Yoruba-speaking people of West Africa, Cuba, Brazil, and Haiti, including the importance of Yoruba culture in the Americas. "|"3"|31
63|"AFRICAN 231"|231|"Introduction to Arabic Literary Culture"|"Overview on Arabic cultural production. Develops a historic and critical understanding of Arabic literary traditions, as well as related musical and visual arts, up to the twenty-first century. "|"3"|24
64|"AFRICAN 232"|232|"Introduction to Swahili Cultures"|"A multi-disciplinary introduction to the identities, history, language, literature, and artistic heritage of Swahili speakers. "|"3"|25
65|"AFRICAN 233"|233|"Global HipHop and Social Justice"|"""Critical interrogation of the relationship between HipHop and social justice. What is """"HipHop,"""" what is """"social justice,"""" what is their relationship, how can HipHop can be an effective force for social justice, and what obstacles mitigate against this potential? Discussions will develop familiarity with important concepts in Black studies and social theory such as race and colonialism, imperialism and hegemony, structure and agency, identity and strategic essentialism. Consider the race/class/gender dimensions of weekly topics, acquire a broader familiarity with HipHop activism, and develop new conceptual tools and critical thinking skills. """|"3"|24665
66|"AFRICAN 270"|270|"The Hero and Trickster in African Oral Traditions"|"Two major characters in African oral tradition as treated in narrative, epic and heroic poetry. "|"3"|33
67|"AFRICAN 275"|275|"Lead with Languages: Putting Language Skills to Work"|"Whether you developed your language abilities at home, abroad, or in an educational setting, learn how to leverage your language skills to maximize potential employment opportunities. Develop an understanding of transferable skills unique to language learners and work toward articulating these skills for resume, cover letter, networking, and interviewing exercises. Connect your enthusiasm for learning languages with your personal interests, skills, and abilities to begin exploring career pathways. Learn from peers, alumni, and other guest speakers with language majors and multilingual backgrounds who have succeeded in a variety of careers.  "|"1"|26045
68|"AFRICAN 277"|277|"Africa: An Introductory Survey"|"African society and culture, polity and economy in multidisciplinary perspectives from prehistory and ancient kingdoms through the colonial period to contemporary developments, including modern nationalism, economic development and changing social structure. "|"4"|17556
69|"AFRICAN 297"|297|"African and African-American Linkages: An Introduction"|"Analysis of retention of African elements in African-American oral, written, and material culture. Social, cultural, and political issues regarding race, self-definition, and self-determination in both Africa and North America will be examined. "|"4"|238
70|"AFRICAN 300"|300|"African Literature in Translation"|"Introduction to the literature, oral or written, of a coherent cultural area of Africa, for those for whom texts in the original language are not accessible. "|"3"|37
71|"AFRICAN 302"|302|"Arabic Literature and Cinema"|"An introduction to the most significant topics of contemporary Arabic literature and cinema. Discuss the legacy of colonialism, repressive nature of post-independence regimes, discourses on nationalism, religion vs. secularization, gender relations, representation of cultural otherness, and the Arab Springs. Materials will be drawn from a variety of cultural forms including literature, film, music, and performance; and scholarship, exploring the social, cultural, political, and economic contexts in which texts and films are written and exhibited. "|"3"|25636
72|"AFRICAN 303"|303|"African Literature and Visual Culture"|"An introduction to literature and visual culture of Africa in various periods and places; specific topics will vary. "|"3"|24505
73|"AFRICAN 304"|304|"Soccer in Africa"|"""Examines representations of soccer in sub-Saharan Africa. It is meant to make us think about African soccer as a cultural and political practice, while keeping in mind that this is a sport or a game. What does this sport, """"the beautiful game"""" as it is called, the most widely followed and adored game, mean to Africans? What is the role of fans and spectators, alongside readers of literature and viewers of film? How does soccer link Africa to the rest of the world? Briefly cover the history of the game, in the world and in Africa, and its social impact; learn about both magic and racism in African soccer; read novels, discuss paintings, and watch films that represent soccer in meaningful ways and connect it to important issues of the neocolonial world. """|"3"|26088
74|"AFRICAN 321"|321|"First Semester Arabic"|"For beginning learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"5"|1048
75|"AFRICAN 322"|322|"Second Semester Arabic"|"For beginning learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"5"|1049
76|"AFRICAN 323"|323|"Third Semester Arabic"|"For intermediate learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4"|66
77|"AFRICAN 324"|324|"Fourth Semester Arabic"|"For intermediate learners of Modern Standard Arabic. Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4"|67
78|"AFRICAN 325"|325|"Colloquial Arabic"|"For intermediate learners of colloquial Arabic from specific region of Arab nations; emphasis on proficiency through speaking, listening, writing and on communication in cultural context. "|"2"|69
79|"AFRICAN 326"|326|"Colloquial Arabic"|"For advanced learners of colloquial Arabic from specific region of Arab nations; emphasis on proficiency through speaking, listening, reading, writing and on communication in cultural context. "|"2"|70
80|"AFRICAN 329"|329|"Fifth Semester Arabic"|"For advanced learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"3"|24901
81|"AFRICAN 330"|330|"Sixth Semester Arabic"|"For advanced learners of Modern Standard Arabic; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"3"|24902
82|"AFRICAN 331"|331|"First Semester Swahili"|"For beginning learners of Standard Swahili; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"5"|71
83|"AFRICAN 332"|332|"Second Semester Swahili"|"For beginning learners of Swahili; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.  "|"5"|72
84|"AFRICAN 333"|333|"Third Semester Swahili"|"Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice. "|"4"|73
85|"AFRICAN 334"|334|"Fourth Semester Swahili"|"Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice. "|"4"|74
86|"AFRICAN 335"|335|"First Semester-A Language of Southern Africa"|"For beginning learners of a Southern African language; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"5"|75
87|"AFRICAN 336"|336|"Second Semester-A Language of Southern Africa"|"For beginning learners of a Southern African language; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4-5"|76
88|"AFRICAN 337"|337|"Third Semester-A Language of Southern Africa"|"Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice. "|"4"|77
89|"AFRICAN 338"|338|"Fourth Semester-A Language of Southern Africa"|"Advanced speaking knowledge and grammatical analysis. Structure, reading, drills. "|"4"|78
90|"AFRICAN 339"|339|"First Semester Summer Arabic"|"Emphasis on proficiency through speaking, listening, reading and writing, and on communication in cultural context. "|"4"|25702
91|"AFRICAN 340"|340|"Second Semester Summer Arabic"|"Emphasis on proficiency through speaking, listening, ready and writing, and on communication in cultural context. "|"4"|25703
92|"AFRICAN 341"|341|"Third Semester Summer Arabic"|"Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4"|25704
93|"AFRICAN 342"|342|"Fourth Semester Summer Arabic"|"Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4"|25705
94|"AFRICAN 343"|343|"Fifth Semester Summer Arabic"|"Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4"|25706
95|"AFRICAN 344"|344|"Sixth Semester Summer Arabic"|"Emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4"|25707
96|"AFRICAN 361"|361|"First Semester Hausa"|"For beginning learners of Hausa; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"5"|88
97|"AFRICAN 362"|362|"Second Semester Hausa"|"For beginning learners of Hausa; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4-5"|89
98|"AFRICAN 370"|370|"Islam: Religion and Culture"|"The emergence and development of Islam; schism; theology; asceticism; speculative and popular mysticism; literatures in diverse Islamic languages. Not open to students with credit for LCA 370 prior to Fall 2019."|"3-4"|10076
99|"AFRICAN 371"|371|"First Semester Yoruba"|"For beginning learners of Standard Yoruba; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"5"|98
100|"AFRICAN 372"|372|"Second Semester Yoruba"|"For beginning learners of standard Yoruba; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"5"|100
101|"AFRICAN 373"|373|"Third Semester Yoruba"|"Advanced grammar and conversational practice. Reading contemporary Yoruba literature and other writings. "|"4"|101
102|"AFRICAN 374"|374|"Fourth Semester Yoruba"|"Continue to develop and refine competence and performance in linguistic skills. "|"4"|102
103|"AFRICAN 391"|391|"First Semester-A Language of West Africa"|"For beginning learners of a West African language; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.  "|"5"|105
104|"AFRICAN 392"|392|"Second Semester-A Language of West Africa"|"For beginning learners of a West African language; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"4-5"|106
105|"AFRICAN 393"|393|"Third Semester-A Language of West Africa"|"For intermediate learners of a West African language. Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice. "|"4"|107
106|"AFRICAN 394"|394|"Fourth Semester-A Language of West Africa"|"For intermediate learners of a West African language. Four-skills approach (speaking, listening, writing, reading) centered around authentic texts, recordings, and images. Grammar review, concerted vocabulary expansion, and intensive practice. "|"4"|108
107|"AFRICAN 399"|399|"Directed Study of an African Language"|"Directed language study for students experienced in language self instruction. The instructor will continue to consult with the student and monitor progress. "|"3"|109
108|"AFRICAN 402"|402|"Theory of African Literature"|"Approaches to the analysis of African oral narrative performances, heroic poetry, epic, and the genres of written literature: Aesthetic, symbolic, and structural analysis and their interrelationships. "|"3-4"|111
109|"AFRICAN 403"|403|"Theories of African Cultural Studies"|"A study of culture and cultural production, circulation, consumption, and meaning making in Africa. Discussions foreground material and imaginative cultural forms and practices-their origins, languages, contents, forms, functions, genres, and audiences. Examines the uses to which particular meanings of culture and its forms are put, by whom, and to what purpose, and how meanings are fought over, reshaped, and reconstituted, and under what conditions those are or can be possible. Surveys the entrenched modes of both conceptual and critical apprehension of the cultural forms and practices (from Negritude to postcolonialism and postmodernism), explores their methods of reading, raises the issue of their linkages to sources in Euro-America, and assesses the extent to which the unique concerns of the biography of culture in Africa (expressed by its creators and scholars) have tried to tame and refashion what are now globally shared critical tools of cultural reading. "|"3"|24687
110|"AFRICAN 405"|405|"Topics in African Cultural Studies"|"Examines various mediated cultural forms such as broadcasting, news, performance, music, film, or social media created and used across regions and countries in Africa, addressing issues such as cultural identity, nation building, constraints on expression, access, and reception, and the interaction of global and African cultural forms. "|"3"|24340
111|"AFRICAN 406"|406|"Topics in African Literature"|"Provides a conceptual focus for the study of various forms of literature from around the African world. Literary forms studied may include novels, drama, poetry, short stories, cinema, and more. Depending on the conceptual focus, texts from a particular region, period, or language may be stressed, or they will coalesce around certain themes, such as modernity, cultural identity, nation building, ideology, globalization, and more. "|"3"|24749
112|"AFRICAN 407"|407|"Topics in African Languages"|"Topics in African languages, especially sociocultural linguistics and critical applied linguistics in Africa. "|"3"|24469
113|"AFRICAN 409"|409|"Topics in US and Global Black Music Studies"|"""Introduces the phenomenon of """"musical blackness"""" as a US-based, transnational cultural form and practice. Explores (topics will vary) how US-based, racially specified black musical forms, together with global forms also identified as """"black,"""" were constituted as part of the legacies of European colonial encounter and US imperial expansion; the categories of """"traditional"""" music and popular style took shape and have been experienced as something part and parcel of this historical process. Gives close consideration to genre, style, and performance practice, in order to understand the many ways in which musical sound and social/political ideas are inextricably linked. """|"3"|24632
114|"AFRICAN 412"|412|"Contemporary African Fiction"|"A critical study of the major works. "|"3-4"|118
115|"AFRICAN 413"|413|"Contemporary African and Caribbean Drama"|"A critical study of the major works. "|"3-4"|119
116|"AFRICAN 414"|414|"Islam in Africa and the Diaspora"|"Explore African Muslim communities and Black Muslim communities in the US as an under-examined archive of Islamic authenticity and authority. Involves close readings of ethnographies, fiction, films, and other forms of cultural expression and examination of the practice of Islam and representation of Muslims in Africa and Muslims of African ancestry in the US. Through both primary and secondary sources, explore themes of not just authenticity and authority but also related issues of representation, positionality, difference, otherness, essentialism, and normativity. Ultimately, form a deeper understanding of the diversity and complexity of Islam and Muslims of African ancestry. "|"3"|26159
117|"AFRICAN 435"|435|"Fifth Semester Swahili"|"For advanced learners of Standard Swahili; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context.  "|"3"|123
118|"AFRICAN 436"|436|"Sixth Semester Swahili"|"For advanced learners of Standard Swahili; emphasis on proficiency through speaking, listening, reading, and writing, and on communication in cultural context. "|"3"|124
119|"AFRICAN 440"|440|"African/Francophone Film"|"Overview of cinematic works from francophone Africa and/or other areas of Africa. Teaches analysis and writing about cinema. Explores links between cinema and national or regional politics and ideology. Examines spectatorship in relation to questions of identity formation. "|"3"|22890
120|"AFRICAN 444"|444|"Technology and Development in Africa and Beyond"|"Surveys the past 20 years of digital technology and communications culture on the African continent, cross-referenced with discourse on technology experiences in other parts of the developing world, through the framework of development studies. Readings include case studies of micro-tech practices as well as political and social use of new media, and government and NGO-led tech interventions. Information Communication Technology for Development (ICT4D) is a key area of focus. Cross-discipline areas include communications and media studies, African, Latin American and International area studies, as well as the social anthropology of technology and science, and design. Think critically about technology use in the context of different tech cultures from around the world. Apply this perspective towards new media solutions to social problems. "|"3"|26239
121|"AFRICAN 445"|445|"Advanced Readings in Arabic Texts"|"A selection of Arabic texts, ranging from Classical to modern. "|"3"|131
122|"AFRICAN 451"|451|"Lusophone African Literature"|"Chronological and thematic survey of major trends, authors, and works of Lusophone Africa since 1936. "|"3"|16169
123|"AFRICAN 453"|453|"Modern African Literature in English"|"Studies modern African literature, written in English, and covering various genres such as poetry, the novel, drama, and/or the short story. "|"3-4"|136
124|"AFRICAN 471"|471|"Oral Traditions and the Written Word"|"Explores and compares African oral narrative performances and African written literatures. "|"3-4"|146
125|"AFRICAN 475"|475|"Fifth Semester Yoruba"|"Advanced linguistic structures, literature and poetry. Introduction to Yoruba cultures in the works of Wole Soyinka. "|"3"|147
126|"AFRICAN 476"|476|"Sixth Semester Yoruba"|"More complex linguistic structure. Proverbs. Yoruba cultural background in the works of Wole Soyinka. "|"3"|148
127|"AFRICAN 493"|493|"Fifth Semester, A Language of Southern Africa"|"Advanced linguistic structures and literature. "|"3"|153
128|"AFRICAN 500"|500|"Language and Society in Africa"|"Language use in African societies; multilingualism; language in politics, religion, socialization. "|"3-4"|159
129|"AFRICAN 501"|501|"Structure and Analysis of African Languages"|"Emphasis on phonetics (including transcription), and on theories and problems of phonology, morphology, and syntax. "|"3-4"|162
